date,location,injured_killed,count
2013-07-06T00:00:00Z,"Los Angeles, CA",killed,1
2013-07-07T00:00:00Z,"Pompano Beach, FL",killed,1
2013-07-07T00:00:00Z,"Meridian, MS",killed,0
2013-07-07T00:00:00Z,"Stockton, CA",killed,1
2013-07-07T00:00:00Z,"Chicago, IL",killed,1
2013-07-09T00:00:00Z,"Baltimore, MD",killed,0
2013-07-09T00:00:00Z,"Rockford, IL",killed,2
2013-07-10T00:00:00Z,"Kissimmee, FL",killed,2
2013-07-11T00:00:00Z,"Charlotte, NC",killed,1
2013-07-12T00:00:00Z,"San Francicsco, CA",killed,1
2013-07-12T00:00:00Z,"Hamilton Township, NJ",killed,1
2013-07-12T00:00:00Z,"Greensburg, KY",killed,2
2013-07-13T00:00:00Z,"Oklahoma City, OK",killed,1
2013-07-13T00:00:00Z,"Washington, DC",killed,0
2013-07-14T00:00:00Z,"Wichita, KS",killed,1
2013-07-14T00:00:00Z,"Kentwood, MI",killed,0
2013-07-14T00:00:00Z,"Lexington, SC",killed,2
2013-07-17T00:00:00Z,"Oakland, CA",killed,3
2013-07-19T00:00:00Z,"Madera, CA",killed,0
2013-07-19T00:00:00Z,"Hartford, CT",killed,0
2013-07-20T00:00:00Z,"Campbell, OH",killed,0
2013-07-21T00:00:00Z,"Chicago, IL",killed,1
2013-07-21T00:00:00Z,"Brooklyn (Crown Heights), NY",killed,0
2013-07-21T00:00:00Z,"Brooklyn (Bushwick), NY",killed,0
2013-07-21T00:00:00Z,"Fort Pierce, FL",killed,2
2013-07-24T00:00:00Z,"Topeka, KS",killed,0
2013-07-25T00:00:00Z,"Inkster, MI",killed,0
2013-07-26T00:00:00Z,"Clarksburg, WV",killed,4
2013-07-26T00:00:00Z,"Hialea, FL",killed,7
2013-07-27T00:00:00Z,"Farmington, NM",killed,1
2013-07-28T00:00:00Z,"Irvington, NJ",killed,1
2013-07-28T00:00:00Z,"Dallas, TX",killed,0
2013-07-28T00:00:00Z,"Granger, WA",killed,0
2013-07-30T00:00:00Z,"Lea County (Hobbs), NM",killed,0
2013-08-02T00:00:00Z,"Broad Ripple, IN",killed,0
2013-08-02T00:00:00Z,"Newark, NJ",killed,2
2013-08-02T00:00:00Z,"Whitesburg, KY",killed,4
2013-08-03T00:00:00Z,"Detriot, MI",killed,0
2013-08-04T00:00:00Z,"Salinas, CA",killed,3
2013-08-04T00:00:00Z,"Kansas City, Mo",killed,1
2013-08-05T00:00:00Z,"Ross Township, PA",killed,3
2013-08-05T00:00:00Z,"Montclair, NJ",killed,0
2013-08-07T00:00:00Z,"Dallas, TX",killed,4
2013-08-11T00:00:00Z,"Portsmouth, VA",killed,1
2013-08-11T00:00:00Z,"Omaha, NE",killed,4
2013-08-11T00:00:00Z,"Flatbush, NY",killed,1
2013-08-11T00:00:00Z,"St. Louis, MO",killed,2
2013-08-11T00:00:00Z,"Wilmington, DE",killed,0
2013-08-12T00:00:00Z,"Cincinnati, OH",killed,0
2013-08-15T00:00:00Z,"Oklahoma, OK",killed,4
2013-08-16T00:00:00Z,"Kingsessing, PA",killed,0
2013-08-17T00:00:00Z,"Oakland, CA",killed,0
2013-08-18T00:00:00Z,"Port Norris, NJ",killed,0
2013-08-18T00:00:00Z,"Toledo, OH",killed,0
2013-08-18T00:00:00Z,"Rochester, NY",killed,1
2013-08-18T00:00:00Z,"St. Louis, MO",killed,0
2013-08-18T00:00:00Z,"Chicago, IL",killed,1
2013-08-18T00:00:00Z,"Chesterfield County, SC",killed,1
2013-08-19T00:00:00Z,"Chicago, IL",killed,1
2013-08-20T00:00:00Z,"Baltimore, MD",killed,2
2013-08-20T00:00:00Z,"Vanceboro, NC",killed,0
2013-08-22T00:00:00Z,"Shaler, PA",killed,2
2013-08-23T00:00:00Z,"Baltimore, MD",killed,1
2013-08-24T00:00:00Z,"Indianapolis, IN",killed,0
2013-08-25T00:00:00Z,"Lake Butler, FL",killed,3
2013-08-25T00:00:00Z,"Minneapolis, MN",killed,2
2013-08-25T00:00:00Z,"Oakland, CA",killed,0
2013-08-25T00:00:00Z,"Dillon County, SC",killed,1
2013-08-28T00:00:00Z,"Columbus, OH",killed,3
2013-09-05T00:00:00Z,"Charlotte, NC",killed,0
2013-09-07T00:00:00Z,"St. Louis, MO",killed,1
2013-09-07T00:00:00Z,"Gary, IN",killed,2
2013-09-10T00:00:00Z,"Bridgeport, CT",killed,1
2013-09-11T00:00:00Z,"Washington, DC",killed,1
2013-09-11T00:00:00Z,"New York, NY",killed,0
2013-09-11T00:00:00Z,"Renegade Mountain, TN",killed,4
2013-09-13T00:00:00Z,"Centreville, IL",killed,0
2013-09-14T00:00:00Z,"Marion, NC",killed,0
2013-09-15T00:00:00Z,"Fresno, CA",killed,0
2013-09-15T00:00:00Z,"Colorado Springs, CO",killed,0
2013-09-15T00:00:00Z,"Wilmington, DE",killed,0
2013-09-15T00:00:00Z,"Bakersfield, CA",killed,2
2013-09-15T00:00:00Z,"Yakima, WA",killed,0
2013-09-15T00:00:00Z,"Snellville, GA",killed,3
2013-09-16T00:00:00Z,"Washington, DC",killed,13
2013-09-17T00:00:00Z,"Stockton, CA",killed,1
2013-09-17T00:00:00Z,"Lansing, MI",killed,0
2013-09-17T00:00:00Z,"Las Vegas, NV",killed,0
2013-09-17T00:00:00Z,"West Broward, FL",killed,4
2013-09-18T00:00:00Z,"Whitehaven, TN",killed,1
2013-09-18T00:00:00Z,"Kissimmee, FL",killed,0
2013-09-18T00:00:00Z,"Bakersfield, CA",killed,1
2013-09-19T00:00:00Z,"Chicago, IL",killed,0
