date,steps,type
3/6/2015,5833,iOS
3/5/2015,3389,iOS
3/4/2015,4729,iOS
3/3/2015,12236,iOS
3/2/2015,7592,iOS
2/16/2015,9568,iOS
2/15/2015,5004,iOS
2/14/2015,11097,iOS
2/13/2015,7519,iOS
2/12/2015,8767,iOS
2/11/2015,13063,iOS
2/10/2015,12479,iOS
2/9/2015,9364,iOS
2/8/2015,4503,iOS
2/7/2015,6738,iOS
1/27/2015,3435,iOS
1/26/2015,7519,iOS
1/25/2015,20307,iOS
1/24/2015,9723,iOS
1/23/2015,9200,iOS
1/22/2015,21031,iOS
1/21/2015,8870,iOS
1/20/2015,10088,iOS
1/19/2015,8343,iOS
1/18/2015,8355,iOS
1/17/2015,10438,iOS
1/16/2015,9884,iOS
1/15/2015,9291,iOS
1/14/2015,11601,iOS
1/6/2015,708,iOS
1/5/2015,23022,iOS
1/4/2015,20745,iOS
1/3/2015,9311,iOS
1/2/2015,6860,iOS
1/1/2015,15682,iOS
12/31/2014,7873,iOS
12/30/2014,7779,iOS
12/8/2014,5678,iOS
12/7/2014,8569,iOS
12/6/2014,3159,iOS
12/5/2014,14013,iOS
12/4/2014,12171,iOS
12/3/2014,12893,iOS
12/2/2014,5562,iOS
11/15/2014,8630,iOS
11/14/2014,13939,iOS
11/13/2014,11534,iOS
11/12/2014,9030,iOS
11/11/2014,9319,iOS
11/10/2014,11371,iOS
11/9/2014,7536,iOS
11/6/2014,1285,iOS
11/5/2014,11062,iOS
11/4/2014,6959,iOS
11/3/2014,9311,iOS
11/2/2014,10552,iOS
11/1/2014,7048,iOS
10/31/2014,4752,iOS
10/30/2014,5140,iOS
10/29/2014,9504,iOS
10/28/2014,12587,iOS
10/27/2014,6913,iOS
10/26/2014,7083,iOS
10/25/2014,5154,iOS
10/24/2014,11222,iOS
10/23/2014,13450,iOS
10/22/2014,14346,iOS
10/21/2014,9128,iOS
10/20/2014,12080,iOS
10/19/2014,5782,iOS
10/18/2014,8331,iOS
10/17/2014,5423,iOS
10/16/2014,8126,iOS
10/14/2014,6466,iOS
10/13/2014,8421,iOS
10/12/2014,4237,iOS
10/11/2014,7531,iOS
10/10/2014,13757,iOS
10/9/2014,19093,iOS
10/8/2014,17304,iOS
10/7/2014,14326,iOS
10/6/2014,8085,iOS
10/5/2014,9140,iOS
10/4/2014,3451,iOS
10/3/2014,6453,iOS
10/2/2014,12891,iOS
10/1/2014,10541,iOS
9/30/2014,9205,iOS
9/29/2014,9337,iOS
9/28/2014,13663,iOS
9/27/2014,3719,iOS
9/26/2014,12770,iOS
9/25/2014,7974,iOS
9/24/2014,8131,iOS
9/23/2014,8650,iOS
9/22/2014,7271,iOS
9/21/2014,25335,iOS
9/20/2014,9491,iOS
9/19/2014,19882,iOS
9/18/2014,12683,iOS
9/17/2014,10638,iOS
9/16/2014,7257,iOS
9/15/2014,7258,iOS
9/14/2014,7031,iOS
9/13/2014,10934,iOS
9/12/2014,5361,iOS
9/11/2014,5683,iOS
9/10/2014,5288,iOS
9/9/2014,4862,iOS
9/8/2014,5445,iOS
9/7/2014,2014,iOS
9/6/2014,2156,iOS
9/5/2014,4257,iOS
9/3/2014,5161,iOS
9/2/2014,10525,iOS
9/1/2014,7071,iOS
8/31/2014,7441,iOS
8/30/2014,9528,iOS
8/29/2014,2313,iOS
8/29/2014,2541,iOS
8/28/2014,12826,iOS
8/27/2014,9768,iOS
8/26/2014,9036,iOS
8/25/2014,9894,iOS
8/24/2014,3313,iOS
8/23/2014,8238,iOS
8/22/2014,1784,iOS
8/21/2014,15760,iOS
8/20/2014,12437,iOS
8/19/2014,13154,iOS
8/18/2014,15331,iOS
8/17/2014,6476,iOS
8/16/2014,5768,iOS
8/15/2014,3980,iOS
8/14/2014,7740,iOS
8/13/2014,5891,iOS
8/12/2014,5674,iOS
8/11/2014,2315,iOS
8/10/2014,3083,iOS
8/9/2014,7861,iOS
8/8/2014,6942,iOS
8/7/2014,6696,iOS
8/5/2014,5524,iOS
8/4/2014,3739,iOS
8/3/2014,5148,iOS
8/2/2014,6442,iOS
8/1/2014,5451,iOS
7/31/2014,3591,iOS
7/30/2014,12101,iOS
7/29/2014,10442,iOS
7/28/2014,7578,iOS
7/28/2014,8049,iOS
7/27/2014,4641,iOS
7/22/2014,7466,iOS
7/21/2014,10167,iOS
7/20/2014,7929,iOS
7/19/2014,3870,iOS
7/18/2014,3866,iOS
7/17/2014,10550,iOS
7/16/2014,5943,iOS
7/15/2014,7479,iOS
7/14/2014,8720,iOS
7/13/2014,4140,iOS
7/12/2014,7029,iOS
7/11/2014,2871,iOS
7/10/2014,5053,iOS
7/9/2014,8290,iOS
7/8/2014,13065,iOS
7/7/2014,4359,iOS
7/6/2014,9783,iOS
7/5/2014,8674,iOS
7/4/2014,10930,iOS
7/3/2014,12681,iOS
