date,killed,injured,location
8/2/2013,0,4,"Broad Ripple, IN"
8/2/2013,2,3,"Newark, NJ"
8/2/2013,4,0,"Whitesburg, KY"
8/3/2013,0,5,"Detriot, MI"
8/4/2013,3,4,"Salinas, CA"
8/4/2013,1,3,"Kansas City, Mo"
8/5/2013,3,4,"Ross Township, PA"
8/5/2013,0,4,"Montclair, NJ"
8/7/2013,4,4,"Dallas, TX"
8/11/2013,1,4,"Portsmouth, VA"
8/11/2013,4,0,"Omaha, NE"
8/11/2013,1,3,"Flatbush, NY"
8/11/2013,2,2,"St. Louis, MO"
8/11/2013,0,4,"Wilmington, DE"
8/12/2013,0,4,"Cincinnati, OH"
8/15/2013,4,0,"Oklahoma, OK"
8/16/2013,0,4,"Kingsessing, PA"
8/17/2013,0,4,"Oakland, CA"
8/18/2013,0,4,"Port Norris, NJ"
8/18/2013,0,4,"Toledo, OH"
8/18/2013,1,3,"Rochester, NY"
8/18/2013,0,4,"St. Louis, MO"
8/18/2013,1,3,"Chicago, IL"
8/18/2013,1,4,"Chesterfield County, SC"
8/19/2013,1,4,"Chicago, IL"
8/20/2013,2,2,"Baltimore, MD"
8/20/2013,0,4,"Vanceboro, NC"
8/22/2013,2,2,"Shaler, PA"
8/23/2013,1,6,"Baltimore, MD"
8/24/2013,0,4,"Indianapolis, IN"
8/25/2013,3,2,"Lake Butler, FL"
8/25/2013,2,2,"Minneapolis, MN"
8/25/2013,0,4,"Oakland, CA"
8/25/2013,1,4,"Dillon County, SC"
8/28/2013,3,2,"Columbus, OH"
9/5/2013,0,4,"Charlotte, NC"
9/7/2013,1,3,"St. Louis, MO"
9/7/2013,2,4,"Gary, IN"
9/10/2013,1,4,"Bridgeport, CT"
9/11/2013,1,3,"Washington, DC"
9/11/2013,0,4,"New York, NY"
9/11/2013,4,0,"Renegade Mountain, TN"
9/13/2013,0,4,"Centreville, IL"
9/14/2013,0,4,"Marion, NC"
9/15/2013,0,7,"Fresno, CA"
9/15/2013,0,5,"Colorado Springs, CO"
9/15/2013,0,4,"Wilmington, DE"
9/15/2013,2,2,"Bakersfield, CA"
9/15/2013,0,6,"Yakima, WA"
9/15/2013,3,1,"Snellville, GA"
9/16/2013,13,8,"Washington, DC"
9/17/2013,1,4,"Stockton, CA"
9/17/2013,0,4,"Lansing, MI"
9/17/2013,0,4,"Las Vegas, NV"
9/17/2013,4,0,"West Broward, FL"
9/18/2013,1,4,"Whitehaven, TN"
9/18/2013,0,5,"Kissimmee, FL"
9/18/2013,1,4,"Bakersfield, CA"
9/19/2013,0,13,"Chicago, IL"
9/20/2013,5,0,"Rice, TX"
9/20/2013,2,2,"Long Beach, CA"
9/21/2013,0,4,"Palm Springs, FL"
9/22/2013,1,6,"Witchita, KA"
9/22/2013,1,3,"St. Louis, MO"
9/22/2013,3,1,"Muskegon, MI"
9/24/2013,0,6,"Huntington, WV"
9/25/2013,0,4,"Haw River, NC"
9/26/2013,0,4,"Jacksonville, FL"
9/27/2013,4,0,"Ashville, PA"
9/29/2013,0,4,"Zanesville, OH"
9/29/2013,1,4,"Chicago, IL"
10/2/2013,4,0,"Double Springs, AL"
10/2/2013,0,4,"Omaha, NE"
10/5/2013,1,13,"Fresno, CA"
10/6/2013,0,4,"Avondale, AZ"
10/6/2013,1,5,"Phillidelphia, PA"
10/6/2013,0,4,"Buffalo, NY"
10/9/2013,4,0,"Paris, TX"
10/12/2013,2,2,"Tulsa, OK"
10/12/2013,0,5,"Tulsa, OK"
10/13/2013,0,8,"Harrisburg, PA"
10/18/2013,0,4,"Margate, FL"
10/20/2013,2,2,"Reno, NV"
10/20/2013,2,4,"Pittsburgh, PA"
10/20/2013,1,4,"Las Vegas, NV"
10/20/2013,2,2,"Miami-Dade, FL"
10/26/2013,0,4,"Miami Gardens, FL"
10/26/2013,1,5,"New Haven, CT"
10/26/2013,1,3,"Ridgecrest, CA"
10/26/2013,5,0,"Phonix, AZ"
10/27/2013,1,6,"Sacramento, CA"
10/27/2013,1,7,"Vallejo, CA"
10/27/2013,0,4,"Beaumont, TX"
10/27/2013,0,4,"Albuquerque, NM"
10/27/2013,0,6,"Roseville, CA"
10/27/2013,1,4,"Southern Pines, NC"
10/28/2013,5,0,"Terrell, TX"
10/29/2013,6,0,"Callison, SC"
10/31/2013,2,2,"Fayetteville, NC"
11/2/2013,1,3,"Radcliff, KY"
11/3/2013,1,4,"Los Angeles, CA"
11/4/2013,0,5,"Perris, CA"
11/5/2013,1,3,"Fresno, CA"
11/5/2013,0,4,"Washington, DC"
11/5/2013,3,7,"Detroit, MI"
11/7/2013,4,0,"Jacksonville, FL"
11/9/2013,2,16,"Cyprus, TX"
11/9/2013,1,3,"Phoenix, AZ"
11/10/2013,1,3,"Canton, OH"
11/10/2013,4,1,"Brooklyn, NY"
11/12/2013,4,0,"Phoenix, AZ"
11/17/2013,1,3,"Houston, TX"
11/20/2013,3,2,"Houston, TX"
11/20/2013,3,1,"Miami-Dade, FL"
11/21/2013,0,4,"Philadelphia, PA"
11/22/2013,2,2,"Columbus, OH"
11/23/2013,4,0,"Parsons, KA"
11/23/2013,4,1,"Tulsa, OK"
11/24/2013,0,7,"Oakland, CA"
11/24/2013,1,3,"Minneapolis, MN"
11/28/2013,0,4,"Rochester, NY"
11/29/2013,0,4,"Fresno, CA"
11/29/2013,0,4,"Indianapolis, IN"
11/30/2013,0,5,"Lansing, MI"
11/30/2013,0,4,"Valdosta, GA"
12/1/2013,4,0,"Topeka, KA"
12/1/2013,2,2,"Miami, FL"
12/2/2013,1,3,"Gary, IN"
12/3/2013,4,0,"Alma, AL"
12/3/2013,0,4,"Louisville, KY"
12/3/2013,4,0,"Erwin, TN"
12/7/2013,0,4,"Wilmington, DE"
12/8/2013,4,0,"Manchester, CT"
12/9/2013,2,3,"Miami-Dade, FL"
12/13/2013,1,3,"Huntington, WV"
12/14/2013,0,4,"Statesville, NC"
12/15/2013,1,3,"Florida City, FL"
12/15/2013,0,5,"Channelview, TX"
12/17/2013,2,2,"Reno, NV"
12/21/2013,1,4,"Trenton, NJ"
12/22/2013,0,4,"Shelby, NC"
12/22/2013,1,3,"Fruitland Township, MI"
12/25/2013,1,3,"Medford, NY"
12/25/2013,3,2,"Irvington, NJ"
12/26/2013,1,7,"Slidell, LA"
12/26/2013,4,3,"Raceland, LA"
12/29/2013,2,2,"Miami-Dade, FL"
12/29/2013,2,6,"Montgomery, AL"
12/30/2013,4,0,"Pleasant Valley, NY"
12/31/2013,0,5,"Brooklyn, NY"
12/31/2013,4,0,"Fontana, CA"
12/31/2013,2,2,"Barberton, OH"
1/1/2014,2,2,"Norfolk, VA"
1/3/2014,1,3,"New York (Queens), NY"
1/4/2014,2,2,"Rock Falls, IL"
1/5/2014,1,3,"Erie, OH"
1/5/2014,0,4,"Atlanta, Ga"
1/12/2014,0,5,"Elgin, Il"
1/12/2014,0,5,"Huntsville, AL"
1/12/2014,0,4,"Portland, OR"
1/14/2014,0,4,"Los Angeles, CA"
1/16/2014,1,4,"Ardmore, OK"
1/16/2014,2,2,"Fresno, CA"
1/16/2014,5,0,"Spanish Fork, UT"
1/20/2014,0,4,"Manassas, VA"
1/21/2014,2,3,"Newark, NJ"
1/25/2014,0,4,"Belle Glade, FL"
1/25/2014,1,4,"Chicago, IL"
1/27/2014,0,4,"Rocky Mount, NC"
1/27/2014,1,4,"Seattle, WA"
1/28/2014,3,5,"Baltimore, MD"
1/28/2014,0,5,"Milwaukee, WI"
2/2/2014,3,2,"Franklin, IL"
2/3/2014,4,0,"Cypress, TX"
2/5/2014,1,3,"Perry, FL"
2/6/2014,1,3,"Chicago, IL"
2/6/2014,4,0,"Defiance, OH"
2/7/2014,0,4,"New Orleans, LA"
2/12/2014,0,5,"Gary, IN"
2/12/2014,1,3,"Oakland, CA"
2/12/2014,1,3,"Stockton, Ca"
2/15/2014,0,5,"Las Vegas, NV"
2/15/2014,0,5,"Fort Wayne, In"
2/16/2014,1,3,"Saginaw, Mi"
2/16/2014,1,4,"Fort Worth, Tx"
2/16/2014,1,4,"Jacksonville, Fl"
2/16/2014,1,6,"Dallas, Tx"
2/16/2014,1,6,"Pine Hills, FL"
2/18/2014,0,6,"Fort Lauderdale, Fl"
2/20/2014,4,2,"Alturas, Ca"
2/20/2014,4,0,"Indianapolis, IN"
2/23/2014,0,4,"Wilmington, CA"
2/24/2014,4,1,"Glade Spring, VA"
2/26/2014,4,0,"Oak Lawn, IL"
3/1/2014,1,4,"Pittsburgh, PA"
3/3/2014,0,4,"Detroit, Mi"
3/5/2014,3,1,"Pelzer, NC"
3/8/2014,1,3,"Richmond, Ca"
3/9/2014,0,4,"Milwaukee, WI"
3/9/2014,0,6,"Chicago, IL"
3/9/2014,3,1,"Fremont, OH"
3/14/2014,0,4,"Brooklyn, NY"
3/16/2014,3,1,"Beaumont, TX"
3/16/2014,0,4,"Waynsboro, GA"
3/22/2014,0,4,"Sikeston, Mo"
3/22/2014,0,4,"North Charlston, SC"
3/23/2014,1,3,"Arlington, TX"
3/24/2014,0,7,"San Francisco, CA"
3/24/2014,1,3,"Long Beach, CA"
3/30/2014,0,5,"Starkville, MS"
3/30/2014,0,5,"Charlotte, NC"
