Title,Author,ISBN,Bookshelves,Date Read
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,9780735611313,Finished reading,""
In the Beginning...Was the Command Line,Neal Stephenson,9780380815937,Finished reading,""
Cathedral and the Bazaar,Eric S. Raymond,9781607962281,Finished reading,""
If Dogs Could Talk: Exploring the Canine Mind,Vilmos Csányi,9780865477292,Finished reading,""
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin,9780156031448,Finished reading,""
How To Speak Dog: Mastering the Art of Dog-Human Communication,Stanley Coren,9780743202978,Finished reading,""
"The New Work of Dogs: Tending to Life, Love, and Family",Jon Katz,9780375760556,Finished reading,""
Adam's Task: Calling Animals by Name,Vicki Hearne,9781602390027,Finished reading,""
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,9780156001458,Finished reading,""
Merchants of Culture: The Publishing Business in the Twenty-First Century,John Brookshire Thompson,9780745647869,Finished reading,""
"Rereading Frederick Jackson Turner: ""The Significance of the Frontier in American History"" and Other Essays",Frederick Jackson Turner,9780300075939,Finished reading,""
Wounded Knee: Party Politics and the Road to an American Massacre,Heather Cox Richardson,9780465009213,Finished reading,""
Universities and Empire: Money and Politics in the Social Sciences During the Cold War,Christopher Simpson,9781565845190,Finished reading,""
Downwinders: An Atomic Tale,Curtis Oberhansly,9780970796592,Finished reading,""
How to Fix Copyright,William Patry,9780199912919,Finished reading,""
A Shared Authority: Essays on the Craft and Meaning of Oral and Public History,Michael Frisch,9780791401330,Finished reading,""
The Tainted Desert: Environmental and Social Ruin in the American West,Valerie Kuletz,9780415917711,Finished reading,""
By the Bomb's Early Light: American Thought and Culture At the Dawn of the Atomic Age,Paul S. Boyer,9780807844809,Finished reading,""
The Closed World: Computers and the Politics of Discourse in Cold War America,Paul N. Edwards,9780262550284,Finished reading,""
The Cold War and American Science: The Military-Industrial-Academic Complex at Mit and Stanford,Stuart W. Leslie,9780231079594,Finished reading,""
When Computers Were Human,David Alan  Grier,9780691091570,Finished reading,""
The Missile Next Door: The Minuteman in the American Heartland,Gretchen Heefner,9780674059115,Finished reading,""
"The Computer Boys Take Over: Computers, Programmers, and the Politics of Technical Expertise",Nathan L. Ensmenger,9780262050937,Finished reading,""
Made to Break: Technology and Obsolescence in America,Giles Slade,9780674022034,Finished reading,""
The Chip: How Two Americans Invented the Microchip and Launched a Revolution,T.R. Reid,9780671453930,Finished reading,""
Cities of Knowledge: Cold War Science and the Search for the Next Silicon Valley,Margaret O'Mara,9780691117164,Finished reading,""
"Regional Advantage: Culture and Competition in Silicon Valley and Route 128, with a New Preface by the Author",AnnaLee Saxenian,9780674753402,Finished reading,""
Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,9780887308918,Finished reading,""
A Consumers' Republic: The Politics of Mass Consumption in Postwar America,Lizabeth Cohen,9780375707377,Finished reading,""
The Mode of Information: Poststructuralism and Social Context,Mark Poster,9780226675961,Finished reading,""
The Informational City: Economic Restructuring and Urban Development,Manuel Castells,9780631179375,Finished reading,""
What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,9780670033829,Finished reading,""
"From Counterculture to Cyberculture: Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism",Fred Turner,9780226817415,Finished reading,""
Casting the Net: From ARPAnet to Internet and Beyond,Peter H. Salus,9780201876741,Finished reading,""
The Master Switch: The Rise and Fall of Information Empires,Tim Wu,9780307390998,Finished reading,""
Inventing the Internet,Janet Abbate,9780262511155,Finished reading,""
The Great Thirst: Californians and Water: A History,Norris Hundley Jr.,9780520224568,Finished reading,""
"The Devil in Silicon Valley: Northern California, Race, and Mexican Americans",Stephen J. Pitti,9780691118468,Finished reading,""
"A Ditch in Time: The City, the West and Water",Patricia Nelson Limerick,9781555913663,Finished reading,""
Thinking Like a Watershed: Voices from the West,Jack Loeffler,9780826352330,Finished reading,""
"Loving Nature, Fearing the State: Environmentalism and Antigovernment Politics Before Reagan",Brian Allen Drake,9780295992990,Finished reading,""
The Promise of Wilderness: American Environmental Politics Since 1964,James Morton Turner,9780295993300,Finished reading,""
"Silicon Valley, Women, and the California Dream: Gender, Class, and Opportunity in the Twentieth Century",Glenna Matthews,9780804747967,Finished reading,""
The Country in the City: The Greening of the San Francisco Bay Area,Richard A. Walker,9780295987019,Finished reading,""
Mapping the Nation: History and Cartography in Nineteenth-Century America,Susan Schulten,9780226103969,Finished reading,""
The Power of Place: Urban Landscapes as Public History,Dolores Hayden,9780262581523,Finished reading,""
"Uninvited Neighbors: African Americans in Silicon Valley, 1769–1990",Herbert G. Ruffin,9780806144368,Finished reading,""
"Sunbelt Rising: The Politics of Space, Place, and Region",Michelle Nickerson,9780812223002,Finished reading,""
"Beauty, Health, and Permanence: Environmental Politics in the United States, 1955-1985",Samuel P. Hays,9780521389280,Finished reading,""
Hypercities: Thick Mapping in the Digital Humanities,Todd Presner,9780674725348,Finished reading,""
Savage Dreams: A Journey into the Landscape Wars of the American West,Rebecca Solnit,9780520220669,Finished reading,""
What the Best College Teachers Do,Ken Bain,9780674013254,Finished reading,""
"Building Suburbia: Green Fields and Urban Growth, 1820-2000",Dolores Hayden,9780375727214,Finished reading,""
Power Lines: Phoenix and the Making of the Modern Southwest,Andrew Needham,9780691139067,Finished reading,""
